"ticker","perm_id","name"
"CY US","PD8ZY6-S-US","Cypress Semiconductor"
"HP US","RCF7LV-S-US","Helmerich & Payne, Inc."
"CVLT US","RH1ZMN-S-US","Commvault Systems, In"
"BK US","HSDSLM-S-US","Bank of New York Mellon Corporation"
"S US","BB0C2F-S-US","Sprint Corp."
"SEIC US","K7T5TF-S-US","SEI Investments Company"
"NI US","N00KJ9-S-US","NiSource Inc"
"LM US","TF5788-S-US","Legg Mason, Inc."
"RL US","B83ZLH-S-US","Ralph Lauren Corporation Class A"
"MPWR US","CZJM88-S-US","Monolithic Power Syst"
"GS US","HG5HFV-S-US","Goldman Sachs Group, Inc."
"ENFC US","WR3BL5-S-US","Entegris, Inc."
"PNC US","JT792F-S-US","PNC Financial Services Group, Inc."
"NN NA","K1DMRQ-S-NL","NN Group N.V."
"NRG US","SPB6XT-S-US","NRG Energy, Inc."
"YUM US","D407NC-S-US","Yum! Brands, Inc."
"DIS US","K8YTSW-S-US","Walt Disney Company"
"NOVN SW","P6G3ZG-S-CH","Novartis AG"
"ABT US","Q1KJQ2-S-US","Abbott Laboratories"
"BXB AU","Q3XHWK-S-AU","Brambles Limited"
"AZO US","V3L7PF-S-US","AutoZone, Inc."
"RHI US","G7VSB9-S-US","Robert Half International Inc."
"7202 JP","Q1KNZ6-S-JP","Isuzu Motors Limited"
"LOGN SW","JGZM69-S-CH","Logitech International"
"ICLR US","CZHBV2-S-US","ICON Plc"
"SLHN SW","DKHSY5-S-CH","Swiss Life Holding AG"
"LLY US","W38FV3-S-US","Eli Lilly and Company"
"8630 JP","HSHBL4-S-JP","Sompo Holdings,Inc."
"ON US","D69DC4-S-US","On Semiconductor Corp"
"AMG NA","DD2DS4-S-NL","AMG Advanced Metallurgical Group N.V."
"TWLO US","HSBJV1-S-US","Twilio, Inc. Class A"
"PRU US","BRWF4W-S-US","Prudential Financial, Inc."
"LITE US","XC104D-S-US","Lumentum Holdings, In"
"MB IM","BQQNZB-S-IT","Mediobanca S.p.A."
