ticker,perm_id,name,summary_level,contextual_level
CY US,PD8ZY6-S-US,Cypress Semiconductor,0,1
HP US,RCF7LV-S-US,"Helmerich & Payne, Inc.",0,1
CVLT US,RH1ZMN-S-US,"Commvault Systems, In",0,1
BK US,HSDSLM-S-US,Bank of New York Mellon Corporation,1,1
S US,BB0C2F-S-US,Sprint Corp.,0,1
SEIC US,K7T5TF-S-US,SEI Investments Company,0,1
NI US,N00KJ9-S-US,NiSource Inc,0,1
LM US,TF5788-S-US,"Legg Mason, Inc.",0,1
RL US,B83ZLH-S-US,Ralph Lauren Corporation Class A,1,1
MPWR US,CZJM88-S-US,Monolithic Power Syst,0,1
GS US,HG5HFV-S-US,"Goldman Sachs Group, Inc.",1,1
ENFC US,WR3BL5-S-US,"Entegris, Inc.",0,1
PNC US,JT792F-S-US,"PNC Financial Services Group, Inc.",0,1
NN NA,K1DMRQ-S-NL,NN Group N.V.,0,1
NRG US,SPB6XT-S-US,"NRG Energy, Inc.",0,1
YUM US,D407NC-S-US,"Yum! Brands, Inc.",1,1
DIS US,K8YTSW-S-US,Walt Disney Company,1,1
NOVN SW,P6G3ZG-S-CH,Novartis AG,1,1
ABT US,Q1KJQ2-S-US,Abbott Laboratories,1,1
BXB AU,Q3XHWK-S-AU,Brambles Limited,0,1
AZO US,V3L7PF-S-US,"AutoZone, Inc.",1,1
RHI US,G7VSB9-S-US,Robert Half International Inc.,0,1
7202 JP,Q1KNZ6-S-JP,Isuzu Motors Limited,0,1
LOGN SW,JGZM69-S-CH,Logitech International,1,1
ICLR US,CZHBV2-S-US,ICON Plc,0,0
SLHN SW,DKHSY5-S-CH,Swiss Life Holding AG,0,0
LLY US,W38FV3-S-US,Eli Lilly and Company,1,1
8630 JP,HSHBL4-S-JP,"Sompo Holdings,Inc.",0,1
ON US,D69DC4-S-US,On Semiconductor Corp,0,1
AMG NA,DD2DS4-S-NL,AMG Advanced Metallurgical Group N.V.,0,1
TWLO US,HSBJV1-S-US,"Twilio, Inc. Class A",1,1
PRU US,BRWF4W-S-US,"Prudential Financial, Inc.",response status_code : 504,1
LITE US,XC104D-S-US,"Lumentum Holdings, In",0,1
MB IM,BQQNZB-S-IT,Mediobanca S.p.A.,0,1
SBAC US,G7RJ37-S-US,SBA Communications Corp. Class A,0,1
BIIB US,S38X5X-S-US,Biogen Inc.,response status_code : 504,1
TMUS US,WYK7VS-S-US,"T-mobile Us, Inc.",1,1
EPAM US,WG9TZK-S-US,"Epam Systems, Inc.",0,1
MQG AU,PC3V3D-S-AU,Macquarie Group Limit,1,1
PAG LN,K10XT3-S-GB,Paragon Banking Group,0,1
SYMC US,L9QXLC-S-US,Symantec Corporation,1,1
MGM US,MQ18S4-S-US,MGM Resorts International,1,1
BR TB,X6CP79-S-TH,Bangkok Ranch Public Co Ltd,0,0
TRIP US,RX8FJX-S-US,"TripAdvisor, Inc.",response status_code : 504,1
DRI US,L6CF99-S-US,"Darden Restaurants, Inc.",1,1
